Id_cliente;Genero;Adulto_mayor;Tiene_pareja;Dependientes;Permanencia;ServicioTelefonico;LineasMultiples;ServicioInternet;SeguridadLinea;CopiaSeguridad;ProteccionDispositivo;SoporteTecnico;StreamingTV;StreamingPelicula;Contrato;FacturacionSpapel;MetodoPago;CargosMensuales;CargosTotales;Abandono
7590-VHVEG;Femenina;0;Si;No;1;No;No hay servicio telefónico;DSL;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;2985;2985;No
5575-GNVDE;Masculino;0;No;No;34;Si;No;DSL;Si;No;Si;No;No;No;Un año;No;Cheque enviado por correo;5695;18895;No
3668-QPYBK;Masculino;0;No;No;2;Si;No;DSL;Si;Si;No;No;No;No;Mes a mes;Si;Cheque enviado por correo;5385;10815;Si
7795-CFOCW;Masculino;0;No;No;45;No;No hay servicio telefónico;DSL;Si;No;Si;Si;No;No;Un año;No;Transferencia bancaria (automática);423;184075;No
9237-HQITU;Femenina;0;No;No;2;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;707;15165;Si
9305-CDSKC;Femenina;0;No;No;8;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;9965;8205;Si
1452-KIOVK;Masculino;0;No;Si;22;Si;Si;Fibra optica;No;Si;No;No;Si;No;Mes a mes;Si;Tarjeta de crédito (automática);891;19494;No
6713-OKOMC;Femenina;0;No;No;10;No;No hay servicio telefónico;DSL;Si;No;No;No;No;No;Mes a mes;No;Cheque enviado por correo;2975;3019;No
7892-POOKP;Femenina;0;Si;No;28;Si;Si;Fibra optica;No;No;Si;Si;Si;Si;Mes a mes;Si;Cheque electronico;1048;304605;Si
6388-TABGU;Masculino;0;No;Si;62;Si;No;DSL;Si;Si;No;No;No;No;Un año;No;Transferencia bancaria (automática);5615;348795;No
9763-GRSKD;Masculino;0;Si;Si;13;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;Si;Cheque enviado por correo;4995;58745;No
7469-LKBCI;Masculino;0;No;No;16;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);1895;3268;No
8091-TTVAX;Masculino;0;Si;No;58;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Un año;No;Tarjeta de crédito (automática);10035;56811;No
0280-XJGEX;Masculino;0;No;No;49;Si;Si;Fibra optica;No;Si;Si;No;Si;Si;Mes a mes;Si;Transferencia bancaria (automática);1037;50363;Si
5129-JLPIS;Masculino;0;No;No;25;Si;No;Fibra optica;Si;No;Si;Si;Si;Si;Mes a mes;Si;Cheque electronico;1055;268605;No
3655-SNQYZ;Femenina;0;Si;Si;69;Si;Si;Fibra optica;Si;Si;Si;Si;Si;Si;Dos años;No;Tarjeta de crédito (automática);11325;789515;No
8191-XWSZG;Femenina;0;No;No;52;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Cheque enviado por correo;2065;102295;No
9959-WOFKT;Masculino;0;No;Si;71;Si;Si;Fibra optica;Si;No;Si;No;Si;Si;Dos años;No;Transferencia bancaria (automática);1067;738225;No
4190-MFLUW;Femenina;0;Si;Si;10;Si;No;DSL;No;No;Si;Si;No;No;Mes a mes;No;Tarjeta de crédito (automática);552;52835;Si
4183-MYFRB;Femenina;0;No;No;21;Si;No;Fibra optica;No;Si;Si;No;No;Si;Mes a mes;Si;Cheque electronico;9005;18629;No
8779-QRDMV;Masculino;1;No;No;1;No;No hay servicio telefónico;DSL;No;No;Si;No;No;Si;Mes a mes;Si;Cheque electronico;3965;3965;Si
1680-VDCWW;Masculino;0;Si;No;12;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Transferencia bancaria (automática);198;20225;No
1066-JKSGK;Masculino;0;No;No;1;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;2015;2015;Si
3638-WEABW;Femenina;0;Si;No;58;Si;Si;DSL;No;Si;No;Si;No;No;Dos años;Si;Tarjeta de crédito (automática);599;35051;No
6322-HRPFA;Masculino;0;Si;Si;49;Si;No;DSL;Si;Si;No;Si;No;No;Mes a mes;No;Tarjeta de crédito (automática);596;29703;No
6865-JZNKO;Femenina;0;No;No;30;Si;No;DSL;Si;Si;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);553;15306;No
6467-CHFZW;Masculino;0;Si;Si;47;Si;Si;Fibra optica;No;Si;No;No;Si;Si;Mes a mes;Si;Cheque electronico;9935;474915;Si
8665-UTDHZ;Masculino;0;Si;Si;1;No;No hay servicio telefónico;DSL;No;Si;No;No;No;No;Mes a mes;No;Cheque electronico;302;302;Si
5248-YGIJN;Masculino;0;Si;No;72;Si;Si;DSL;Si;Si;Si;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);9025;636945;No
8773-HHUOZ;Femenina;0;No;Si;17;Si;No;DSL;No;No;No;No;Si;Si;Mes a mes;Si;Cheque enviado por correo;647;10931;Si
3841-NFECX;Femenina;1;Si;No;71;Si;Si;Fibra optica;Si;Si;Si;Si;No;No;Dos años;Si;Tarjeta de crédito (automática);9635;676695;No
4929-XIHVW;Masculino;1;Si;No;2;Si;No;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;Si;Tarjeta de crédito (automática);955;18165;No
6827-IEAUQ;Femenina;0;Si;Si;27;Si;No;DSL;Si;Si;Si;Si;No;No;Un año;No;Cheque enviado por correo;6615;187445;No
7310-EGVHZ;Masculino;0;No;No;1;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Transferencia bancaria (automática);202;202;No
3413-BMNZE;Masculino;1;No;No;1;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);4525;4525;No
6234-RAAPL;Femenina;0;Si;Si;72;Si;Si;Fibra optica;Si;Si;No;Si;Si;No;Dos años;No;Transferencia bancaria (automática);999;72517;No
6047-YHPVI;Masculino;0;No;No;5;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;697;3169;Si
6572-ADKRS;Femenina;0;No;No;46;Si;No;Fibra optica;No;No;Si;No;No;No;Mes a mes;Si;Tarjeta de crédito (automática);748;35483;No
5380-WJKOV;Masculino;0;No;No;34;Si;Si;Fibra optica;No;Si;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;10635;354925;Si
8168-UQWWF;Femenina;0;No;No;11;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;Si;Transferencia bancaria (automática);9785;11054;Si
8865-TNMNX;Masculino;0;Si;Si;10;Si;No;DSL;No;Si;No;No;No;No;Un año;No;Cheque enviado por correo;4955;4757;No
9489-DEDVP;Femenina;0;Si;Si;70;Si;Si;DSL;Si;Si;No;No;Si;No;Dos años;Si;Tarjeta de crédito (automática);692;487235;No
9867-JCZSP;Femenina;0;Si;Si;17;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Cheque enviado por correo;2075;41825;No
4671-VJLCL;Femenina;0;No;No;63;Si;Si;DSL;Si;Si;Si;Si;Si;No;Dos años;Si;Tarjeta de crédito (automática);7985;486145;No
4080-IIARD;Femenina;0;Si;No;13;Si;Si;DSL;Si;Si;No;Si;Si;No;Mes a mes;Si;Cheque electronico;762;98145;No
3714-NTNFO;Femenina;0;No;No;49;Si;Si;Fibra optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;845;39067;No
5948-UJZLF;Masculino;0;No;No;2;Si;No;DSL;No;Si;No;No;No;No;Mes a mes;No;Cheque enviado por correo;4925;97;No
7760-OYPDY;Femenina;0;No;No;2;Si;No;Fibra optica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;8065;14415;Si
7639-LIAYI;Masculino;0;No;No;52;Si;Si;DSL;Si;No;No;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);7975;42178;No
2954-PIBKO;Femenina;0;Si;Si;69;Si;Si;DSL;Si;No;Si;Si;No;No;Dos años;Si;Tarjeta de crédito (automática);6415;42541;No
8012-SOUDQ;Femenina;1;No;No;43;Si;Si;Fibra optica;No;Si;No;No;Si;No;Mes a mes;Si;Cheque electronico;9025;383875;No
9420-LOJKX;Femenina;0;No;No;15;Si;No;Fibra optica;Si;Si;No;No;Si;Si;Mes a mes;Si;Tarjeta de crédito (automática);991;14264;Si
6575-SUVOI;Femenina;1;Si;No;25;Si;Si;DSL;Si;No;No;Si;Si;No;Mes a mes;Si;Tarjeta de crédito (automática);695;175265;No
7495-OOKFY;Femenina;1;Si;No;8;Si;Si;Fibra optica;No;Si;No;No;No;No;Mes a mes;Si;Tarjeta de crédito (automática);8065;6333;Si
4667-QONEA;Femenina;1;Si;Si;60;Si;No;DSL;Si;Si;Si;Si;No;Si;Un año;Si;Tarjeta de crédito (automática);7485;445635;No
1658-BYGOY;Masculino;1;No;No;18;Si;Si;Fibra optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;9545;175255;Si
8769-KKTPH;Femenina;0;Si;Si;63;Si;Si;Fibra optica;Si;No;No;No;Si;Si;Un año;Si;Tarjeta de crédito (automática);9965;63112;No
5067-XJQFU;Masculino;1;Si;Si;66;Si;Si;Fibra optica;No;Si;Si;Si;Si;Si;Un año;Si;Cheque electronico;10845;707635;No
3957-SQXML;Femenina;0;Si;Si;34;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);2495;8943;No
5954-BDFSG;Femenina;0;No;No;72;Si;Si;Fibra optica;No;No;Si;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);1075;78537;No
0434-CSFON;Femenina;0;Si;No;47;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;1005;47071;No
1215-FIGMP;Masculino;0;No;No;60;Si;Si;Fibra optica;No;Si;No;No;Si;No;Mes a mes;Si;Transferencia bancaria (automática);899;54507;No
0526-SXDJP;Masculino;0;Si;No;72;No;No hay servicio telefónico;DSL;Si;Si;Si;No;No;No;Dos años;No;Transferencia bancaria (automática);421;2962;No
0557-ASKVU;Femenina;0;Si;Si;18;Si;No;DSL;No;No;Si;Si;No;No;Un año;Si;Tarjeta de crédito (automática);544;9571;No
